Date,Open,High,Low,Close,Adj Close,Volume
2014-07-14,14.666000,15.252667,14.363333,15.113333,15.113333,108048000
2014-07-15,15.115333,15.176667,14.540000,14.638667,14.638667,85777500
2014-07-16,14.788000,14.986667,14.454667,14.477333,14.477333,60667500
2014-07-17,14.410667,14.703333,14.240000,14.360000,14.360000,69741000
2014-07-18,14.396667,14.747333,14.395333,14.668000,14.668000,63805500
2014-07-21,14.483333,14.880667,14.448000,14.702667,14.702667,57333000
2014-07-22,14.812667,14.886667,14.607333,14.638667,14.638667,40950000
2014-07-23,14.667333,14.983333,14.628667,14.832667,14.832667,46249500
2014-07-24,14.883333,15.006667,14.720000,14.902667,14.902667,48682500
2014-07-25,14.848000,15.131333,14.783333,14.904667,14.904667,46306500
2014-07-28,14.950000,15.466667,14.760000,14.988000,14.988000,97714500
2014-07-29,15.107333,15.220000,14.990667,15.000667,15.000667,50736000
2014-07-30,14.794667,15.306667,14.736000,15.261333,15.261333,73917000
2014-07-31,15.284000,15.426667,14.766667,14.886667,14.886667,116236500
2014-08-01,15.072667,15.833333,15.066667,15.551333,15.551333,178437000
2014-08-04,15.625333,16.033333,15.551333,15.901333,15.901333,89395500
2014-08-05,15.831333,16.199333,15.712667,15.899333,15.899333,80829000
2014-08-06,15.926667,16.761333,15.905333,16.595333,16.595333,138739500
2014-08-07,16.674667,17.112667,16.608000,16.826000,16.826000,112183500
2014-08-08,16.743999,16.784000,16.433332,16.542000,16.542000,76351500
2014-08-11,17.032000,17.582666,17.000000,17.288000,17.288000,121519500
2014-08-12,17.205334,17.353333,16.972000,17.330667,17.330667,95734500
2014-08-13,17.467333,17.709333,17.307333,17.354000,17.354000,103989000
2014-08-14,17.499332,17.533333,17.100000,17.425333,17.425333,61899000
2014-08-15,17.431999,17.472668,17.233334,17.467333,17.467333,58018500
2014-08-18,17.549999,17.817333,17.316668,17.329332,17.329332,87738000
2014-08-19,17.257999,17.288668,16.774668,17.117332,17.117332,80022000
2014-08-20,16.978001,17.249332,16.866667,17.047333,17.047333,45418500
2014-08-21,17.101334,17.253332,16.884001,16.955999,16.955999,43734000
2014-08-22,16.969334,17.129999,16.840668,17.118668,17.118668,42501000
2014-08-25,17.212667,17.578667,17.212667,17.503332,17.503332,64771500
2014-08-26,17.665333,17.700001,17.444000,17.449333,17.449333,57270000
2014-08-27,17.566668,17.615999,17.352667,17.549999,17.549999,44776500
2014-08-28,17.459333,17.632000,17.442667,17.590668,17.590668,42673500
2014-08-29,17.913334,18.133333,17.834000,17.980000,17.980000,96706500
2014-09-02,18.366667,18.992666,18.286667,18.941334,18.941334,147786000
