"total_steps","common_active_calories","floors_ascended","max_heart_rate","min_avg_heart_rate","average_stress","resting_heart_rate","max_stress","abnormalhr_alerts_count","max_avg_heart_rate","total_steps_goal","user_floors_ascended_goal","moderate_intensity_minutes","total_calories","bodybattery_charged","floors_descended","bmr_calories","food_calories_remaining","common_total_calories","average_steps","vigorous_intensity_minutes","total_distance","common_total_distance","active_calories","food_calories_consumed","id","athlete_id","calendar_date","user_intensity_goal","min_heart_rate","body_battery_drained","sleep_duration"
20644,nan,28,99,41,21,46,90,0,98,nan,10,56,2271,66,21,1901,-718.0,2271,0,0,17640,17640,370,2989,134,1,"2022-07-04",150,39,48,24480
12930,nan,22,87,39,14,41,80,0,82,nan,10,46,2128,49,19,1901,-475.0,2128,0,0,10397,10397,227,2603,135,1,"2022-07-03",150,37,65,23040
14344,nan,14,97,40,16,46,92,0,94,nan,10,60,2192,61,14,1893,187,2192,0,0,11010,11010,299,2005,136,1,"2022-07-02",150,39,45,22740
12573,nan,21,100,40,16,44,75,0,99,nan,10,20,2081,55,16,1908,-1130.0,2081,0,0,9823,9823,173,3211,137,1,"2022-07-01",150,40,69,24600
13880,nan,21,112,44,20,47,96,0,104,nan,10,51,2220,44,18,1899,97,2220,0,0,10651,10651,321,2123,138,1,"2022-06-30",150,43,40,25980
9488,nan,20,108,42,18,45,85,0,107,nan,10,22,2153,62,17,1889,-922.0,2153,0,0,7278,7278,264,3075,139,1,"2022-06-29",150,42,54,18660
11503,nan,25,105,38,13,41,87,0,104,nan,10,29,2112,48,20,1889,-63.0,2112,0,0,9053,9053,223,2175,140,1,"2022-06-28",150,37,68,25421
9010,nan,16,98,46,27,48,88,0,98,nan,10,0,2131,35,11,1898,-213.0,2131,0,0,7267,7267,233,2344,141,1,"2022-06-27",150,46,59,26460
13445,nan,19,130,47,34,47,91,0,129,nan,10,2,2308,76,10,1898,-239.0,2308,0,24,12628,12628,410,2547,142,1,"2022-06-26",150,46,28,22680
15395,nan,29,143,40,14,42,78,0,143,nan,10,3,2606,55,31,1898,-904.0,2606,0,60,15999,15999,708,3510,143,1,"2022-06-25",150,38,62,27420
6832,nan,39,119,39,27,43,99,0,116,nan,10,6,2026,21,34,1895,-984.0,2026,0,0,5534,5534,131,3010,144,1,"2022-06-24",150,39,44,20820
20002,nan,166,156,39,21,45,99,0,153,nan,10,11,2834,71,140,1895,-577.0,2834,0,59,17951,17951,939,3411,145,1,"2022-06-23",150,37,60,23460
16856,nan,144,155,44,22,47,90,0,149,nan,10,8,2728,38,136,1895,473,2728,0,62,15632,15632,833,2255,146,1,"2022-06-22",150,43,43,21300
15819,nan,19,149,45,20,47,87,0,148,nan,10,7,2693,60,19,1895,108,2693,0,60,16357,16357,798,2585,147,1,"2022-06-21",150,40,48,24660
10891,nan,21,143,39,14,42,74,0,142,nan,10,57,2718,55,23,1895,-507.0,2718,0,30,10188,12666,823,3225,148,1,"2022-06-20",150,37,50,20141
15838,nan,23,144,35,15,40,87,0,144,nan,10,2,2603,64,27,1895,-32.0,2603,0,52,16530,16530,708,2635,149,1,"2022-06-19",150,35,54,24060
15221,nan,25,151,41,17,43,81,0,151,nan,10,5,2615,43,22,1899,20,2615,0,56,16085,16085,716,2595,150,1,"2022-06-18",150,41,55,30240
9748,nan,29,141,42,21,47,77,0,141,nan,10,6,2170,42,30,1894,-1834.0,2170,0,15,8883,8883,276,4004,151,1,"2022-06-17",150,41,48,29880
10555,nan,103,164,41,21,50,91,0,164,nan,10,28,2466,42,92,1894,393,2466,0,39,11266,11266,572,2073,152,1,"2022-06-16",150,40,48,29700
18801,nan,171,158,45,26,49,81,0,154,nan,10,4,2760,44,149,1894,-285.0,2760,0,56,16846,16846,866,3045,153,1,"2022-06-15",150,44,43,22680
18948,nan,29,150,39,20,43,99,0,148,nan,10,2,2707,68,26,1894,-691.0,2707,0,64,18774,18774,813,3398,154,1,"2022-06-14",150,38,50,25260
15057,nan,23,146,41,15,43,99,0,145,nan,10,4,2703,59,24,1900,-309.0,2703,0,68,15757,15757,803,3012,155,1,"2022-06-13",150,40,72,26640
18703,nan,24,198,41,17,44,100,0,190,nan,10,3,3045,78,29,1891,-117.0,3045,0,89,18572,18572,1154,3162,156,1,"2022-06-12",150,41,59,23940
18658,nan,144,156,42,20,46,93,0,155,nan,10,8,2730,39,139,1894,-269.0,2730,0,57,16589,16589,836,2999,158,1,"2022-06-10",150,40,52,24660
16702,nan,128,159,41,25,49,87,0,158,nan,10,2,2759,30,123,1894,0,2759,0,61,15576,15576,865,2759,159,1,"2022-06-09",150,40,39,16740
20649,nan,64,151,43,23,46,82,0,150,nan,10,3,2890,77,57,1894,-605.0,2890,0,68,20525,20525,996,3495,160,1,"2022-06-08",150,42,45,24240
15582,nan,31,149,43,15,44,81,0,149,nan,10,4,2642,52,30,1898,44,2642,0,54,16022,16022,744,2598,161,1,"2022-06-07",150,42,68,27180
13766,nan,34,153,41,19,45,85,0,153,nan,10,61,2763,64,28,1898,-324.0,2763,0,25,12912,15412,865,3087,162,1,"2022-06-06",150,38,47,25980
